,Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Performance_Score,Remote_Work,Department,Region,Status_code,Remote_Work_code,Performance_Score_code,Department_Code,Tenure_Date
0,EMP1000,Bob,Davis,25.0,Active,2021-04-02,59767.65,Average,True,DevOps,California,1,1,1,2,1615
1,EMP1001,Bob,Brown,33.0,Active,2020-07-10,65304.66,Excellent,True,Finance,Texas,1,1,3,3,1881
2,EMP1002,Alice,Jones,33.0,Pending,2023-12-07,88145.9,Good,True,Admin,Nevada,2,1,2,0,636
3,EMP1003,Eva,Davis,25.0,Inactive,2021-11-27,69450.99,Good,True,Admin,Nevada,0,1,2,0,1376
4,EMP1004,Frank,Williams,25.0,Active,2022-01-05,109324.61,Poor,False,Cloud Tech,Florida,1,0,0,1,1337
5,EMP1005,Alice,Garcia,40.0,Inactive,2020-06-10,88642.84,Good,False,Sales,Texas,0,0,2,5,1911
6,EMP1006,Frank,Jones,36.0,Active,2020-04-03,96288.43,Good,False,Admin,Nevada,1,0,2,0,1979
7,EMP1007,Bob,Jones,30.0,Inactive,2022-07-17,94497.91,Average,True,Cloud Tech,Florida,0,1,1,1,1144
8,EMP1008,Frank,Davis,35.0,Inactive,2023-12-08,115565.82,Excellent,True,Admin,Nevada,0,1,3,0,635
9,EMP1009,Charlie,Johnson,32.0,Active,2022-08-04,76561.88,Excellent,True,DevOps,New York,1,1,3,2,1126
10,EMP1010,David,Williams,35.0,Active,2024-07-06,72081.71,Average,False,Cloud Tech,New York,1,0,1,1,424
11,EMP1011,David,Davis,34.0,Active,2023-09-04,84946.19,Poor,True,DevOps,California,1,1,0,2,730
12,EMP1012,Heidi,Williams,30.0,Active,2024-03-05,89295.77,Excellent,False,HR,New York,1,0,3,4,547
13,EMP1013,Grace,Williams,38.0,Active,2020-10-10,85666.84,Good,False,Finance,California,1,0,2,3,1789
14,EMP1014,Alice,Garcia,25.0,Active,2024-06-10,97633.68,Excellent,True,Admin,Nevada,1,1,3,0,450
15,EMP1015,Grace,Jones,40.0,Pending,2021-05-29,117975.49,Good,True,Sales,Florida,2,1,2,5,1558
16,EMP1016,Alice,Brown,25.0,Inactive,2024-04-23,94867.33,Poor,False,DevOps,Illinois,0,0,0,2,498
17,EMP1017,Grace,Garcia,30.0,Pending,2024-11-28,100377.65,Average,True,Finance,Texas,2,1,1,3,279
18,EMP1018,Charlie,Garcia,32.0,Inactive,2024-09-19,94726.46,Excellent,False,Cloud Tech,Nevada,0,0,3,1,349
19,EMP1019,Charlie,Williams,35.0,Pending,2020-01-02,91926.12,Average,True,Admin,Illinois,2,1,1,0,2071
20,EMP1020,Bob,Miller,35.0,Active,2021-05-08,111460.67,Excellent,True,HR,New York,1,1,3,4,1579
21,EMP1021,Bob,Jones,40.0,Active,2020-09-19,96182.56,Good,False,Cloud Tech,Illinois,1,0,2,1,1810
22,EMP1022,Charlie,Johnson,35.0,Inactive,2021-03-09,115023.94,Average,True,Sales,Illinois,0,1,1,5,1639
23,EMP1023,David,Garcia,35.0,Pending,2022-02-03,80667.01,Excellent,False,Finance,Nevada,2,0,3,3,1308
24,EMP1024,Bob,Brown,30.0,Inactive,2020-02-13,91181.61,Good,True,Admin,Texas,0,1,2,0,2029
25,EMP1025,David,Miller,25.0,Pending,2020-04-30,66025.92,Average,False,Cloud Tech,Nevada,2,0,1,1,1952
26,EMP1026,Frank,Miller,25.0,Inactive,2023-10-02,83979.01,Average,False,Sales,New York,0,0,1,5,702
27,EMP1027,Heidi,Johnson,30.0,Active,2020-07-12,56785.16,Excellent,True,Finance,Florida,1,1,3,3,1879
28,EMP1028,Grace,Garcia,40.0,Active,2023-10-11,95741.88,Excellent,False,Finance,Nevada,1,0,3,3,693
29,EMP1029,Alice,Brown,40.0,Active,2021-05-24,63411.31,Excellent,True,DevOps,California,1,1,3,2,1563
30,EMP1030,Charlie,Jones,40.0,Inactive,2021-05-26,111214.02,Good,True,Admin,California,0,1,2,0,1561
31,EMP1031,Bob,Smith,25.0,Active,2020-07-10,114845.69,Excellent,True,DevOps,Illinois,1,1,3,2,1881
32,EMP1032,Charlie,Brown,40.0,Active,2024-11-05,78072.82,Average,False,Finance,Florida,1,0,1,3,302
33,EMP1033,Grace,Johnson,25.0,Inactive,2021-08-07,79610.52,Average,False,Finance,California,0,0,1,3,1488
34,EMP1034,Heidi,Miller,30.0,Active,2020-04-29,90542.62,Excellent,True,Admin,California,1,1,3,0,1953
35,EMP1035,Frank,Jones,25.0,Inactive,2022-10-26,114357.1,Excellent,True,Cloud Tech,Illinois,0,1,3,1,1043
36,EMP1036,Alice,Brown,31.0,Active,2023-05-03,54757.26,Poor,False,Cloud Tech,New York,1,0,0,1,854
37,EMP1037,Grace,Smith,25.0,Pending,2023-05-02,52781.92,Average,True,Sales,New York,2,1,1,5,855
38,EMP1038,Frank,Smith,35.0,Pending,2021-10-05,66708.02,Good,True,Admin,Nevada,2,1,2,0,1429
39,EMP1039,Eva,Williams,40.0,Active,2022-07-27,93481.15,Poor,False,HR,Texas,1,0,0,4,1134
40,EMP1040,Bob,Williams,25.0,Pending,2021-06-27,59271.96,Excellent,True,Sales,New York,2,1,3,5,1529
41,EMP1041,Bob,Davis,30.0,Active,2022-06-16,108362.15,Excellent,False,HR,California,1,0,3,4,1175
42,EMP1042,Alice,Johnson,32.0,Active,2024-12-03,59400.38,Average,True,HR,Nevada,1,1,1,4,274
43,EMP1043,Bob,Garcia,31.0,Inactive,2023-05-23,64744.08,Excellent,False,Admin,California,0,0,3,0,834
44,EMP1044,Eva,Brown,38.0,Active,2020-07-08,94399.91,Good,True,Finance,California,1,1,2,3,1883
45,EMP1045,Alice,Brown,25.0,Pending,2021-06-20,61310.74,Average,True,HR,New York,2,1,1,4,1536
46,EMP1046,Grace,Garcia,34.0,Active,2024-12-13,98371.37,Excellent,False,Cloud Tech,Texas,1,0,3,1,264
47,EMP1047,Alice,Davis,35.0,Active,2022-05-30,58921.19,Average,True,Sales,Illinois,1,1,1,5,1192
48,EMP1048,Alice,Miller,35.0,Active,2023-09-27,57195.55,Excellent,False,Admin,Nevada,1,0,3,0,707
49,EMP1049,Grace,Miller,32.0,Active,2024-11-05,61375.12,Excellent,True,DevOps,New York,1,1,3,2,302
50,EMP1050,Charlie,Davis,40.0,Pending,2021-11-11,104767.05,Excellent,False,Cloud Tech,New York,2,0,3,1,1392
51,EMP1051,David,Miller,35.0,Active,2022-02-22,111051.67,Good,False,Admin,Nevada,1,0,2,0,1289
52,EMP1052,David,Williams,30.0,Inactive,2024-08-07,105674.18,Good,False,Finance,California,0,0,2,3,392
53,EMP1053,Alice,Brown,30.0,Inactive,2024-11-05,54859.45,Average,False,Finance,California,0,0,1,3,302
54,EMP1054,Frank,Davis,29.0,Pending,2021-11-09,115746.6,Excellent,True,Finance,Nevada,2,1,3,3,1394
55,EMP1055,Eva,Brown,30.0,Active,2020-08-10,91759.99,Excellent,True,Sales,California,1,1,3,5,1850
56,EMP1056,Frank,Garcia,40.0,Active,2022-02-27,112965.33,Good,False,Sales,Illinois,1,0,2,5,1284
57,EMP1057,Alice,Smith,40.0,Pending,2023-11-07,100360.1,Excellent,False,Cloud Tech,Illinois,2,0,3,1,666
58,EMP1058,David,Williams,35.0,Pending,2021-11-07,93620.88,Good,False,Finance,Texas,2,0,2,3,1396
59,EMP1059,Bob,Jones,35.0,Pending,2022-04-16,72832.8,Excellent,True,Sales,California,2,1,3,5,1236
60,EMP1060,Charlie,Williams,30.0,Inactive,2023-10-19,102369.42,Average,True,Finance,Nevada,0,1,1,3,685
61,EMP1061,Eva,Davis,40.0,Inactive,2021-08-10,64712.79,Excellent,True,Sales,Texas,0,1,3,5,1485
62,EMP1062,Frank,Jones,40.0,Pending,2021-03-13,85782.18,Excellent,True,Finance,Florida,2,1,3,3,1635
63,EMP1063,Charlie,Smith,25.0,Pending,2023-07-20,93348.26,Poor,False,HR,Illinois,2,0,0,4,776
64,EMP1064,David,Davis,35.0,Active,2020-02-20,53234.96,Good,False,Admin,New York,1,0,2,0,2022
65,EMP1065,Bob,Johnson,40.0,Pending,2021-02-02,100284.21,Excellent,False,Finance,Nevada,2,0,3,3,1674
66,EMP1066,Grace,Brown,30.0,Pending,2020-01-12,112486.19,Excellent,True,Admin,Nevada,2,1,3,0,2061
67,EMP1067,Bob,Smith,40.0,Pending,2022-11-26,82518.49,Poor,True,Admin,New York,2,1,0,0,1012
68,EMP1068,Bob,Brown,40.0,Pending,2022-12-23,119152.47,Poor,True,Admin,Florida,2,1,0,0,985
69,EMP1069,Heidi,Miller,35.0,Inactive,2024-08-28,113479.83,Good,False,DevOps,Illinois,0,0,2,2,371
70,EMP1070,Charlie,Johnson,40.0,Active,2024-09-16,94636.3,Poor,False,Finance,California,1,0,0,3,352
71,EMP1071,Heidi,Johnson,30.0,Active,2024-01-01,70000.97,Average,True,HR,Florida,1,1,1,4,611
72,EMP1072,Frank,Smith,33.0,Active,2021-04-18,76812.47,Poor,False,Cloud Tech,New York,1,0,0,1,1599
73,EMP1073,David,Johnson,25.0,Inactive,2023-01-16,82614.7,Average,True,Finance,Florida,0,1,1,3,961
74,EMP1074,Grace,Jones,40.0,Active,2024-10-20,111645.97,Good,True,Sales,Nevada,1,1,2,5,318
75,EMP1075,Heidi,Johnson,25.0,Inactive,2024-10-13,112414.91,Good,False,HR,California,0,0,2,4,325
76,EMP1076,David,Brown,40.0,Inactive,2022-09-21,52031.74,Good,True,Admin,California,0,1,2,0,1078
77,EMP1077,Grace,Brown,30.0,Pending,2022-12-29,51887.65,Good,False,Finance,New York,2,0,2,3,979
78,EMP1078,Alice,Davis,25.0,Active,2024-11-10,82318.89,Good,True,DevOps,Florida,1,1,2,2,297
79,EMP1079,Grace,Brown,35.0,Inactive,2021-11-22,103286.08,Average,False,Admin,Florida,0,0,1,0,1381
80,EMP1080,Grace,Davis,35.0,Active,2024-03-14,87759.33,Average,False,Cloud Tech,Florida,1,0,1,1,538
81,EMP1081,Frank,Brown,30.0,Pending,2020-03-23,102796.32,Good,False,DevOps,Texas,2,0,2,2,1990
82,EMP1082,David,Jones,25.0,Active,2020-09-15,83149.27,Poor,True,Sales,New York,1,1,0,5,1814
83,EMP1083,David,Garcia,40.0,Inactive,2020-12-09,92412.49,Excellent,True,DevOps,California,0,1,3,2,1729
84,EMP1084,Bob,Davis,30.0,Pending,2020-02-22,115022.1,Good,False,HR,Texas,2,0,2,4,2020
85,EMP1085,Grace,Williams,40.0,Active,2023-04-27,98343.01,Poor,False,DevOps,New York,1,0,0,2,860
86,EMP1086,Bob,Miller,35.0,Active,2024-06-18,118869.1,Excellent,True,DevOps,Illinois,1,1,3,2,442
87,EMP1087,Frank,Smith,36.0,Inactive,2020-05-21,85417.26,Good,True,Finance,Nevada,0,1,2,3,1931
88,EMP1088,Grace,Brown,40.0,Inactive,2023-07-25,112410.25,Good,True,Cloud Tech,Florida,0,1,2,1,771
89,EMP1089,Charlie,Johnson,40.0,Pending,2023-08-25,68905.77,Average,False,Admin,Nevada,2,0,1,0,740
90,EMP1090,Heidi,Garcia,40.0,Pending,2021-07-03,72561.32,Excellent,True,Finance,Nevada,2,1,3,3,1523
91,EMP1091,Bob,Brown,35.0,Inactive,2023-03-13,92723.22,Excellent,True,Finance,New York,0,1,3,3,905
92,EMP1092,Alice,Johnson,40.0,Inactive,2021-03-10,74837.75,Poor,False,HR,New York,0,0,0,4,1638
93,EMP1093,Eva,Miller,35.0,Pending,2020-01-21,86163.91,Average,True,DevOps,California,2,1,1,2,2052
94,EMP1094,David,Miller,40.0,Active,2023-11-15,83326.52,Average,True,Finance,Illinois,1,1,1,3,658
95,EMP1095,Heidi,Miller,25.0,Active,2022-04-08,98425.1,Average,True,Cloud Tech,California,1,1,1,1,1244
96,EMP1096,Frank,Johnson,40.0,Inactive,2022-05-21,119764.2,Average,False,Sales,Illinois,0,0,1,5,1201
97,EMP1097,Frank,Brown,40.0,Inactive,2021-04-17,58445.91,Excellent,False,HR,California,0,0,3,4,1600
98,EMP1098,Bob,Miller,31.0,Active,2021-03-19,101702.33,Excellent,False,DevOps,New York,1,0,3,2,1629
99,EMP1099,Eva,Jones,25.0,Active,2022-01-09,105791.79199999999,Good,False,Admin,California,1,0,2,0,1333
100,EMP1100,Charlie,Davis,35.0,Pending,2021-08-21,98819.22,Good,False,Cloud Tech,Texas,2,0,2,1,1474
101,EMP1101,Heidi,Johnson,25.0,Inactive,2022-08-19,83509.99,Average,False,Cloud Tech,Illinois,0,0,1,1,1111
102,EMP1102,Alice,Johnson,35.0,Active,2022-03-31,84422.26,Average,False,Finance,Texas,1,0,1,3,1252
103,EMP1103,Alice,Brown,30.0,Inactive,2020-06-23,119574.27,Average,True,Admin,Illinois,0,1,1,0,1898
104,EMP1104,Grace,Johnson,33.0,Active,2024-05-07,86580.08,Good,True,Sales,Illinois,1,1,2,5,484
105,EMP1105,Heidi,Johnson,35.0,Inactive,2023-03-10,93471.91,Poor,False,Sales,Florida,0,0,0,5,908
106,EMP1106,Bob,Miller,30.0,Inactive,2023-09-14,55683.12,Poor,True,DevOps,New York,0,1,0,2,720
107,EMP1107,Bob,Brown,30.0,Inactive,2023-11-12,91566.78,Good,True,Cloud Tech,Florida,0,1,2,1,661
108,EMP1108,David,Miller,35.0,Pending,2024-10-26,81782.19,Good,False,DevOps,California,2,0,2,2,312
109,EMP1109,Eva,Davis,35.0,Inactive,2020-08-23,88119.37,Good,True,DevOps,New York,0,1,2,2,1837
110,EMP1110,Eva,Garcia,30.0,Active,2024-06-11,71532.83,Good,True,Cloud Tech,Texas,1,1,2,1,449
111,EMP1111,Eva,Davis,40.0,Pending,2021-09-14,98981.36,Good,True,Cloud Tech,Florida,2,1,2,1,1450
112,EMP1112,Heidi,Garcia,40.0,Active,2024-12-26,80242.01,Good,True,Cloud Tech,Illinois,1,1,2,1,251
113,EMP1113,Eva,Miller,25.0,Pending,2024-09-08,110236.18,Average,True,Cloud Tech,New York,2,1,1,1,360
114,EMP1114,Alice,Davis,35.0,Active,2022-08-21,86327.47,Average,False,Sales,Texas,1,0,1,5,1109
115,EMP1115,Eva,Brown,30.0,Pending,2024-07-25,84420.81,Average,False,Sales,Florida,2,0,1,5,405
116,EMP1116,Frank,Smith,40.0,Pending,2020-08-02,110041.32,Average,False,HR,California,2,0,1,4,1858
117,EMP1117,Heidi,Miller,35.0,Pending,2020-03-16,81837.81,Good,True,DevOps,Florida,2,1,2,2,1997
118,EMP1118,Frank,Garcia,25.0,Active,2023-09-08,110855.72,Poor,False,Finance,Illinois,1,0,0,3,726
119,EMP1119,Alice,Jones,30.0,Pending,2024-03-29,84894.52,Excellent,True,Sales,California,2,1,3,5,523
120,EMP1120,Alice,Garcia,30.0,Active,2021-08-12,80668.13,Good,True,HR,Illinois,1,1,2,4,1483
121,EMP1121,Bob,Jones,25.0,Active,2023-12-24,61086.47,Excellent,True,DevOps,Illinois,1,1,3,2,619
122,EMP1122,Grace,Johnson,25.0,Inactive,2020-08-28,95339.68,Poor,True,Admin,Texas,0,1,0,0,1832
123,EMP1123,Eva,Davis,33.0,Inactive,2024-09-05,83774.97,Average,False,DevOps,California,0,0,1,2,363
124,EMP1124,Heidi,Jones,31.0,Active,2023-05-12,85576.86,Poor,False,Admin,Florida,1,0,0,0,845
125,EMP1125,Bob,Garcia,35.0,Pending,2021-07-01,107438.46,Good,True,Finance,California,2,1,2,3,1525
126,EMP1126,Eva,Johnson,32.0,Inactive,2024-11-07,60401.68,Average,False,Sales,Nevada,0,0,1,5,300
127,EMP1127,Frank,Smith,35.0,Inactive,2022-07-21,115299.66,Good,True,Sales,Illinois,0,1,2,5,1140
128,EMP1128,David,Brown,37.0,Inactive,2020-03-30,72272.34,Average,False,Finance,New York,0,0,1,3,1983
129,EMP1129,Grace,Brown,40.0,Active,2022-10-11,117537.71,Excellent,False,DevOps,Nevada,1,0,3,2,1058
130,EMP1130,Frank,Brown,25.0,Pending,2022-07-24,51074.33,Excellent,True,Finance,Texas,2,1,3,3,1137
131,EMP1131,Charlie,Jones,25.0,Inactive,2023-06-30,98489.32,Excellent,False,Finance,California,0,0,3,3,796
132,EMP1132,Frank,Smith,33.0,Pending,2024-01-11,112120.71,Poor,True,Finance,California,2,1,0,3,601
